SampleID	host_common_name
Meles-meles_SAMEA6809596.ebi_filtered_r1r2combined_sampleCombined	Mexican collared anteater
Vipera-ursinii_SAMEA6809597.ebi_filtered_r1r2combined_sampleCombined	Hoffmann's two-fingered sloth
Caprimulgus-europaeus_SAMEA6809598.ebi_filtered_r1r2combined_sampleCombined	ground pangolin
Vulpes-vulpes_SAMEA6809599.ebi_filtered_r1r2combined_sampleCombined	European green toad
Turdus-philomelos_SAMEA6809600.ebi_filtered_r1r2combined_sampleCombined	gray seal
Lepus-europaeus_SAMEA6809601.ebi_filtered_r1r2combined_sampleCombined	silver crucian carp
Squalius-cephalus_SAMEA6809602.ebi_filtered_r1r2combined_sampleCombined	Silver_Bream
Scardinius-erythrophthalmus_SAMEA6809603.ebi_filtered_r1r2combined_sampleCombined	Asp
Perca-fluviatilis_SAMEA6809604.ebi_filtered_r1r2combined_sampleCombined	Horsfields_Bronze_Cuckoo
Ovis-aries_SAMEA6809605.ebi_filtered_r1r2combined_sampleCombined	Horsfields_Bronze_Cuckoo
Capreolus-capreolus_SAMEA6809606.ebi_filtered_r1r2combined_sampleCombined	large forest bat
Cricetus-cricetus_SAMEA6809607.ebi_filtered_r1r2combined_sampleCombined	barnacle goose
Strix-uralensis_SAMEA6809608.ebi_filtered_r1r2combined_sampleCombined	Black_Grouse
Camelus-dromedarius_SAMEA6809609.ebi_filtered_r1r2combined_sampleCombined	western marsh harrier
Mustela-eversmannii_SAMEA6809610.ebi_filtered_r1r2combined_sampleCombined	Common magpie
Mustela-eversmannii_SAMEA6809611.ebi_filtered_r1r2combined_sampleCombined	White stork
Mustela-putorius_SAMEA6809612.ebi_filtered_r1r2combined_sampleCombined	black-bellied hamster
Equus-hemionus_SAMEA6809613.ebi_filtered_r1r2combined_sampleCombined	Northern house-martin
Gazella-bennettii_SAMEA6809614.ebi_filtered_r1r2combined_sampleCombined	noctule
Castor-fiber_SAMEA6809615.ebi_filtered_r1r2combined_sampleCombined	Italian wall lizard
Lutra-lutra_SAMEA6809616.ebi_filtered_r1r2combined_sampleCombined	southern white-cheeked gibbon
Lutra-lutra_SAMEA6809617.ebi_filtered_r1r2combined_sampleCombined	Red shanked douc langur
Canis-lupus_SAMEA6809618.ebi_filtered_r1r2combined_sampleCombined	pygmy slow loris
Gymnocephalus-cernua_SAMEA6809619.ebi_filtered_r1r2combined_sampleCombined	Domestic goose
Scardinius-erythrophthalmus_SAMEA6809620.ebi_filtered_r1r2combined_sampleCombined	human
Phylloscopus-collybita_SAMEA6809621.ebi_filtered_r1r2combined_sampleCombined	human
Canis-lupus_SAMEA6809622.ebi_filtered_r1r2combined_sampleCombined	domestic cat
Eliomys-quercinus_SAMEA6809623.ebi_filtered_r1r2combined_sampleCombined	domestic cat
Glis-glis_SAMEA6809624.ebi_filtered_r1r2combined_sampleCombined	common house gecko
Eliomys-quercinus_SAMEA6809625.ebi_filtered_r1r2combined_sampleCombined	Domestic goose
Rallus-aquaticus_SAMEA6809626.ebi_filtered_r1r2combined_sampleCombined	northern tree shrew
Prunella-modularis_SAMEA6809627.ebi_filtered_r1r2combined_sampleCombined	Red-cheeked gibbon
Crocidura-suaveolens_SAMEA6809628.ebi_filtered_r1r2combined_sampleCombined	golden jackal
Sus-scrofa_SAMEA6809629.ebi_filtered_r1r2combined_sampleCombined	raccoon dog
Vipera-ursinii_SAMEA6809630.ebi_filtered_r1r2combined_sampleCombined	red fox
Lepus-europaeus_SAMEA6809631.ebi_filtered_r1r2combined_sampleCombined	European hare
Sciurus-vulgaris_SAMEA6809632.ebi_filtered_r1r2combined_sampleCombined	Meadow_Viper
Tringa-glareola_SAMEA6809633.ebi_filtered_r1r2combined_sampleCombined	Water_Rail
Tringa-glareola_SAMEA6809634.ebi_filtered_r1r2combined_sampleCombined	garden dormouse
Abramis-brama_SAMEA6809635.ebi_filtered_r1r2combined_sampleCombined	dog
Bufo-bufo_SAMEA6809636.ebi_filtered_r1r2combined_sampleCombined	Ural owl
Bufo-bufo_SAMEA6809637.ebi_filtered_r1r2combined_sampleCombined	song thrush
Phalacrocorax-carbo_SAMEA6809638.ebi_filtered_r1r2combined_sampleCombined	Eurasian nightjar
Aspius-aspius_SAMEA6809639.ebi_filtered_r1r2combined_sampleCombined	Meadow_Viper
Esox-lucius_SAMEA6809640.ebi_filtered_r1r2combined_sampleCombined	Eurasian badger
Esox-lucius_SAMEA6809641.ebi_filtered_r1r2combined_sampleCombined	Pika
Dama-dama_SAMEA6809642.ebi_filtered_r1r2combined_sampleCombined	western European hedgehog
Dama-dama_SAMEA6809643.ebi_filtered_r1r2combined_sampleCombined	Tawny owl
Canis-lupus_SAMEA6809644.ebi_filtered_r1r2combined_sampleCombined	gray wolf
