SampleID	host_common_name
Myodes-glareolus_Mousseau88_USC_657_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_683_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_685_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_687_host_filtered_r1r2combined	bank vole
Myodes-glareolus_Mousseau88_USC_689_host_filtered_r1r2combined	bank vole
Myrmecophaga-tridactyla_Song51_25184_host_filtered_r1r2combined	Giant anteater
Numida-meleagris_Minich76_GM_host_filtered_r1r2combined	helmeted guineafowl
Nyctereutes-procyonoides_Song51_24065_host_filtered_r1r2combined	Raccoon dog
Ophisaurus-apodus_Song52_24080_host_filtered_r1r2combined	Glass lizard
Pedostibes-hosii_Song52_25153_host_filtered_r1r2combined	Climbing toad
Pteronura-brasiliensis_Song75_24084_host_filtered_r1r2combined	Giant otter
Pyxis-arachnoides_Song52_25039_host_filtered_r1r2combined	Spider tortoise
Rhacodactylus-leachianus_Song52_25064_host_filtered_r1r2combined	New Caledonian giant gecko
Rhea-americana_Song53_24102_host_filtered_r1r2combined	Rhea
Rhyticeros-undulatus_Song53_24055_host_filtered_r1r2combined	Wreathed hornbill
Sarcorhamphus-papa_Song53_24450_host_filtered_r1r2combined	King vulture
Struthio-camelus_Song53_24049_host_filtered_r1r2combined	Ostrich
Struthio-camelus_Song53_24061_host_filtered_r1r2combined	Ostrich
Sus-scrofa_Minich76_PM_host_filtered_r1r2combined	pig
Tamandua-tetradactyla_Song51_24661_host_filtered_r1r2combined	Southern tamandua
Tolypeutes-matacus_Song51_24740_host_filtered_r1r2combined	Southern three-banded armadillo
Torgos-tracheliotus_Song53_24572_host_filtered_r1r2combined	Lappet faced vulture
Trachycephalus-resinifictrix_Song52_25162_host_filtered_r1r2combined	Misson golden-eyed tree frog
Trichechus-manatus_Song75_ace_host_filtered_r1r2combined	Florida manatee
Trichechus-manatus_Song75_myakka_host_filtered_r1r2combined	Florida manatee
Uroplatus-lineatus_Song52_25073_host_filtered_r1r2combined	Lined flat-tail gecko
Varanus-acanthurus_Song52_25032_host_filtered_r1r2combined	Spiny-tailed monitor
Varanus-albigularis_Song52_24048_host_filtered_r1r2combined	Black-throated monitor
Pteromys-volans_S_S_Temp_D707-AK1545_filtered_r1r2combined	Siberian flying squirrel
Pteromys-volans_S_S_Temp_D703-AK1546_filtered_r1r2combined	Siberian flying squirrel
Pteromys-volans_S_S_Temp_D703-AK1544_filtered_r1r2combined	Siberian flying squirrel
Pteromys-volans_S_S_Temp_D708-AK1681_filtered_r1r2combined	Siberian flying squirrel
Pteromys-volans_S_S_Temp_D703-AK1545_filtered_r1r2combined	Siberian flying squirrel
Struthio-camelus_S_S_Temp_D703-AK1543_filtered_r1r2combined	Ostrich
Casuarius-casuarius_S_S_Temp_D703-AK1780_filtered_r1r2combined	Cassowary
Haliaeetus-leucocephalus_S_S_Temp_D707-AK1543_filtered_r1r2combined	Bald eagle
Necrosyrtes-monachus_S_S_Temp_D707-AK1682_filtered_r1r2combined	Hooded vulture
Necrosyrtes-monachus_S_S_Temp_D707-AK1780_filtered_r1r2combined	Hooded vulture
Buteo-jamaicensis_S_S_Temp_D707-AK1680_filtered_r1r2combined	Red tailed hawk
Falco-biarmicus_S_S_Temp_D707-AK1681_filtered_r1r2combined	Lanner falcon
Parabuteo-unicinctus_S_S_Temp_D711-AK1543_filtered_r1r2combined	Harris hawk
Suricata-suricatta_S_S_Temp_D705-AK1681_filtered_r1r2combined	Meerkat
Torgos-tracheliotus_S_S_Temp_D703-AK1682_filtered_r1r2combined	Lappet faced vulture
Cynomys-ludovicianus_S_S_Temp_D705-AK1680_filtered_r1r2combined	Prairie dog
Cryptoprocta-ferox_S_S_Temp_D704-AK1546_filtered_r1r2combined	Fossa
Hyaena-hyaena_S_S_Temp_D701-AK1680_filtered_r1r2combined	Striped hyena
Hyaena-brunnea_S_S_Temp_D701-AK1682_filtered_r1r2combined	Brown hyena
Suricata-suricatta_S_S_Temp_D701-AK1681_filtered_r1r2combined	Meerkat
Struthio-camelus_S_S_Temp_D709-AK1544_filtered_r1r2combined	ostrich
Crocuta-crocuta_S_S_Temp_D704-AK1681_filtered_r1r2combined	Spotted hyena
Eudromia-elegans_S_S_Temp_D710-AK1682_filtered_r1r2combined	elegant crested tinamou
Rhea-americana_S_S_Temp_D709-AK1545_filtered_r1r2combined	Greater rhea
Callosciurus-prevostii_S_S_Temp_D704-AK1680_filtered_r1r2combined	Prevosts squirrel
Ichthyomyzon-fossor_S_S_Temp_D711-AK1682_filtered_r1r2combined	northern brook lamprey
Lampetra-appendix_S_S_Temp_D703-AK1680_filtered_r1r2combined	American brook lamprey
Lampetra-appendix_S_S_Temp_D702-AK1780_filtered_r1r2combined	American brook lamprey
Ichthyomyzon-fossor_S_S_Temp_D702-AK1681_filtered_r1r2combined	northern brook lamprey
Lampetra-appendix_S_S_Temp_D702-AK1544_filtered_r1r2combined	American brook lamprey
Ichthyomyzon-fossor_S_S_Temp_D710-AK1545_filtered_r1r2combined	northern brook lamprey
Ichthyomyzon-fossor_S_S_Temp_D711-AK1544_filtered_r1r2combined	northern brook lamprey
Petromyzon-marinus_S_S_Temp_D702-AK1546_filtered_r1r2combined	sea lamprey
Petromyzon-marinus_S_S_Temp_D701-AK1780_filtered_r1r2combined	sea lamprey
Petromyzon-marinus_S_S_Temp_D701-AK1544_filtered_r1r2combined	sea lamprey
Petromyzon-marinus_S_S_Temp_D702-AK1543_filtered_r1r2combined	sea lamprey
Petromyzon-marinus_S_S_Temp_D702-AK1545_filtered_r1r2combined	sea lamprey
Petromyzon-marinus_S_S_Temp_D701-AK1546_filtered_r1r2combined	sea lamprey
Petromyzon-marinus_S_S_Temp_D701-AK1545_filtered_r1r2combined	sea lamprey
Petromyzon-marinus_S_S_Temp_D702-AK1680_filtered_r1r2combined	sea lamprey
Petromyzon-marinus_S_S_Temp_D701-AK1543_filtered_r1r2combined	sea lamprey
Petromyzon-marinus_S_S_Temp_D702-AK1682_filtered_r1r2combined	sea lamprey
Eudromia-elegans_S_S_Temp_D706-AK1680_filtered_r1r2combined	elegant crested tinamou
Casuarius-casuarius_S_S_Temp_D705-AK1545_filtered_r1r2combined	cassowary
Rhea-americana_S_S_Temp_D705-AK1543_filtered_r1r2combined	rhea
Sarcoramphus-papa_S_S_Temp_D705-AK1682_filtered_r1r2combined	king vulture
Callosciurus-prevostii_S_S_Temp_D704-AK1682_filtered_r1r2combined	prevosts squirrel
Apteryx-mantelli_S_S_Temp_D706-AK1546_filtered_r1r2combined	brown kiwi
Callosciurus-prevostii_S_S_Temp_D704-AK1543_filtered_r1r2combined	prevosts squirrel
Apteryx-mantelli_S_S_Temp_D706-AK1681_filtered_r1r2combined	brown kiwi
Mungos-mungo_S_S_Temp_D704-AK1780_filtered_r1r2combined	banded mongoose
Sarcoramphus-papa_S_S_Temp_D705-AK1780_filtered_r1r2combined	king vulture
Suricata-suricatta_S_S_Temp_D704-AK1545_filtered_r1r2combined	meerkat
Rhea-americana_S_S_Temp_D706-AK1780_filtered_r1r2combined	rhea
Rhea-americana_S_S_Temp_D706-AK1543_filtered_r1r2combined	rhea
Apteryx-mantelli_S_S_Temp_D705-AK1546_filtered_r1r2combined	kiwi
Apteryx-mantelli_S_S_Temp_D706-AK1682_filtered_r1r2combined	kiwi
Rhea-americana_S_S_Temp_D706-AK1545_filtered_r1r2combined	rhea
