SampleID	SubjectID	SubjectID2	SubjectID3	captive_wild	Primary_dietary_category_jeff	bloodfeeder	flight_status	flight_type	Corrected_species_name	CorrectedSpeciesName2	Taxonomy_Class	Taxonomy_Family	Taxonomy_Genus	Taxonomy_Kingdom	Taxonomy_Order	Taxonomy_Phylum
Song52_25039_host_filtered_r1r2combined	Pyxis_arachnoides	Pyxis~arachnoides	Pyxis-arachnoides	captive	Omnivore	no	flightless	flightless	Pyxis_arachnoides	PyxisArachnoides	Chelonia	Testudinidae	Pyxis	Metazoa	Testudines	Chordata
Song52_25064_host_filtered_r1r2combined	Rhacodactylus_leachianus	Rhacodactylus~leachianus	Rhacodactylus-leachianus	captive	Omnivore	no	flightless	flightless	Rhacodactylus_leachianus	RhacodactylusLeachianus	Lepidosauria	Diplodactylidae	Rhacodactylus	Metazoa	Squamata	Chordata
Rhea-americana_S_S_Temp_D705-AK1543_filtered_r1r2combined	Rhea_americana_1	Rhea~americana~1	Rhea-americana-1	captive	Omnivore	no	flightless	flightless	Rhea_americana	RheaAmericana	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Chordata
Rhea-americana_S_S_Temp_D706-AK1543_filtered_r1r2combined	Rhea_americana_2	Rhea~americana~2	Rhea-americana-2	captive	Omnivore	no	flightless	flightless	Rhea_americana	RheaAmericana	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Chordata
Rhea-americana_S_S_Temp_D706-AK1545_filtered_r1r2combined	Rhea_americana_3	Rhea~americana~3	Rhea-americana-3	captive	Omnivore	no	flightless	flightless	Rhea_americana	RheaAmericana	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Chordata
Rhea-americana_S_S_Temp_D706-AK1780_filtered_r1r2combined	Rhea_americana_4	Rhea~americana~4	Rhea-americana-4	captive	Omnivore	no	flightless	flightless	Rhea_americana	RheaAmericana	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Chordata
Rhea-americana_S_S_Temp_D709-AK1545_filtered_r1r2combined	Rhea_americana_5	Rhea~americana~5	Rhea-americana-5	captive	Omnivore	no	flightless	flightless	Rhea_americana	RheaAmericana	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Chordata
Song53_24102_host_filtered_r1r2combined	Rhea_americana_6	Rhea~americana~6	Rhea-americana-6	captive	Omnivore	no	flightless	flightless	Rhea_americana	RheaAmericana	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Chordata
Song53_24055_host_filtered_r1r2combined	Rhyticeros_undulatus	Rhyticeros~undulatus	Rhyticeros-undulatus	captive	fruigivore 	no	flighted	strong	Rhyticeros_undulatus	RhyticerosUndulatus	Aves	Bucerotidae	Rhyticeros	Metazoa	Bucerotiformes	Chordata
Sarcoramphus-papa_S_S_Temp_D705-AK1682_filtered_r1r2combined	Sarcoramphus_papa_1	Sarcoramphus~papa~1	Sarcoramphus-papa-1	captive	Carnivore	no	flighted	strong	Sarcoramphus_papa	SarcoramphusPapa	Aves	Cathartidae	Sarcoramphus	Metazoa	Ciconiiformes	Chordata
