SampleID	sample_name_2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	log10(reads_per_file)_full	log10(reads_per_file)	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild
Rhea-americana_S_S_Temp_D706-AK1780_filtered_r1r2combined	11166.NATL.25017.rhea	11166	Rhea-americana_S_S_Temp_D706-AK1780_filtered_r1r2combined.fastq.gz	24251830	24239394	7.384521758	7	rhea.3	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Rhea_americana	Rhea_americana	Rhea_americana	rhea	flightless	NA	NA	USA	NA	NA	omnivore	omnivore	captive
Rhea-americana_S_S_Temp_D706-AK1543_filtered_r1r2combined	11166.NATL.25027.rhea	11166	Rhea-americana_S_S_Temp_D706-AK1543_filtered_r1r2combined.fastq.gz	11998942	11998066	7.079111247	7	rhea.4	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Rhea_americana	Rhea_americana	Rhea_americana	rhea	flightless	NA	NA	USA	NA	NA	omnivore	omnivore	captive
Rhea-americana_S_S_Temp_D706-AK1545_filtered_r1r2combined	11166.NATL.25059.rhea	11166	Rhea-americana_S_S_Temp_D706-AK1545_filtered_r1r2combined.fastq.gz	14023128	14022004	7.146810087	7	rhea.5	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Rhea_americana	Rhea_americana	Rhea_americana	rhea	flightless	NA	NA	USA	NA	NA	omnivore	omnivore	captive
Petromyzon-marinus_S_S_Temp_D702-AK1546_filtered_r1r2combined	11166.lamprey.24159.lamprey	11166	Petromyzon-marinus_S_S_Temp_D702-AK1546_filtered_r1r2combined.fastq.gz	75842922	7558816	6.878453774	7	sea_lamprey.1	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon_marinus	Petromyzon_marinus	Petromyzon_marinus	sea_lamprey	flightless	NA	NA	USA	NA	NA	sanguivore	carnivore	wild
Petromyzon-marinus_S_S_Temp_D701-AK1780_filtered_r1r2combined	11166.lamprey.24168.lamprey	11166	Petromyzon-marinus_S_S_Temp_D701-AK1780_filtered_r1r2combined.fastq.gz	40005538	2160580	6.334570352	6	sea_lamprey.2	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon_marinus	Petromyzon_marinus	Petromyzon_marinus	sea_lamprey	flightless	NA	NA	USA	NA	NA	sanguivore	carnivore	wild
Petromyzon-marinus_S_S_Temp_D701-AK1544_filtered_r1r2combined	11166.lamprey.24173.lamprey	11166	Petromyzon-marinus_S_S_Temp_D701-AK1544_filtered_r1r2combined.fastq.gz	105797434	6050832	6.781815095	7	sea_lamprey.3	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon_marinus	Petromyzon_marinus	Petromyzon_marinus	sea_lamprey	flightless	NA	NA	USA	NA	NA	sanguivore	carnivore	wild
Petromyzon-marinus_S_S_Temp_D702-AK1543_filtered_r1r2combined	11166.lamprey.24177.lamprey	11166	Petromyzon-marinus_S_S_Temp_D702-AK1543_filtered_r1r2combined.fastq.gz	5616910	5563566	6.745353244	7	sea_lamprey.4	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon_marinus	Petromyzon_marinus	Petromyzon_marinus	sea_lamprey	flightless	NA	NA	USA	NA	NA	sanguivore	carnivore	wild
Petromyzon-marinus_S_S_Temp_D702-AK1545_filtered_r1r2combined	11166.lamprey.24178.lamprey	11166	Petromyzon-marinus_S_S_Temp_D702-AK1545_filtered_r1r2combined.fastq.gz	81313692	5374230	6.730316249	7	sea_lamprey.5	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon_marinus	Petromyzon_marinus	Petromyzon_marinus	sea_lamprey	flightless	NA	NA	USA	NA	NA	sanguivore	carnivore	wild
Petromyzon-marinus_S_S_Temp_D701-AK1546_filtered_r1r2combined	11166.lamprey.24179.lamprey	11166	Petromyzon-marinus_S_S_Temp_D701-AK1546_filtered_r1r2combined.fastq.gz	49158058	3685728	6.566523282	7	sea_lamprey.6	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon_marinus	Petromyzon_marinus	Petromyzon_marinus	sea_lamprey	flightless	NA	NA	USA	NA	NA	sanguivore	carnivore	wild
Petromyzon-marinus_S_S_Temp_D701-AK1545_filtered_r1r2combined	11166.lamprey.24365.lamprey	11166	Petromyzon-marinus_S_S_Temp_D701-AK1545_filtered_r1r2combined.fastq.gz	11652468	4517380	6.654886625	7	sea_lamprey.7	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon_marinus	Petromyzon_marinus	Petromyzon_marinus	sea_lamprey	flightless	NA	NA	USA	NA	NA	sanguivore	carnivore	wild
Petromyzon-marinus_S_S_Temp_D702-AK1680_filtered_r1r2combined	11166.lamprey.24373.lamprey	11166	Petromyzon-marinus_S_S_Temp_D702-AK1680_filtered_r1r2combined.fastq.gz	68073402	3990702	6.601049299	7	sea_lamprey.8	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon_marinus	Petromyzon_marinus	Petromyzon_marinus	sea_lamprey	flightless	NA	NA	USA	NA	NA	sanguivore	carnivore	wild
Petromyzon-marinus_S_S_Temp_D701-AK1543_filtered_r1r2combined	11166.lamprey.24380.lamprey	11166	Petromyzon-marinus_S_S_Temp_D701-AK1543_filtered_r1r2combined.fastq.gz	64454466	4159974	6.619090616	7	sea_lamprey.9	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon_marinus	Petromyzon_marinus	Petromyzon_marinus	sea_lamprey	flightless	NA	NA	USA	NA	NA	sanguivore	carnivore	wild
Petromyzon-marinus_S_S_Temp_D702-AK1682_filtered_r1r2combined	11166.lamprey.24392.lamprey	11166	Petromyzon-marinus_S_S_Temp_D702-AK1682_filtered_r1r2combined.fastq.gz	50448962	3550018	6.550230555	7	sea_lamprey.10	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon_marinus	Petromyzon_marinus	Petromyzon_marinus	sea_lamprey	flightless	NA	NA	USA	NA	NA	sanguivore	carnivore	wild
Geospiza-difficilis_S_S_Temp_D712-AK1682_filtered_r1r2combined	11166.UM.24898.finch	11166	Geospiza-difficilis_S_S_Temp_D712-AK1682_filtered_r1r2combined.fastq.gz	5943512	5572612	6.746058806	7	sharpbeaked_ground_finch.1	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza_difficilis	Geospiza_fortis	Geospiza_difficilis	sharpbeaked_ground_finch	flighted	NA	NA	Ecuador	NA	NA	sanguivore	carnivore	wild
Geospiza-difficilis_S_S_Temp_D712-AK1543_filtered_r1r2combined	11166.UM.24994.finch	11166	Geospiza-difficilis_S_S_Temp_D712-AK1543_filtered_r1r2combined.fastq.gz	8031360	7967968	6.901347581	7	sharpbeaked_ground_finch.2	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza_difficilis	Geospiza_fortis	Geospiza_difficilis	sharpbeaked_ground_finch	flighted	NA	NA	Ecuador	NA	NA	sanguivore	carnivore	wild
Pteromys-volans_S_S_Temp_D707-AK1545_filtered_r1r2combined	11166.AR.M18.flyingsquirrel	11166	Pteromys-volans_S_S_Temp_D707-AK1545_filtered_r1r2combined.fastq.gz	20695232	20495598	7.311660594	7	siberian_flying_squirrel.1	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys_volans	Sciurus_vulgaris	Pteromys_volans	Siberian_flying_squirrel	flightless	NA	NA	Finland	NA	NA	herbivore	herbivore	wild
