SampleID	sample_name_2	studyID	SampleID2	file_filtered_r1r2_combined	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type
Lemur_catta	11212.Lc259	11212	Lemur-catta_Lc259_ACTTGA_L003_001_filtered_r1r2combined	Lemur-catta_Lc259_ACTTGA_L003_001_filtered_r1r2combined.fastq.gz	16380374	ring-tailed_lemur.1	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur catta	ring-tailed lemur	flightless		Not	Madagascar	Dry Forest	stool
Lemur_catta	11212.Lc301	11212	Lemur-catta_Lc301_GATCAG_L003_001_filtered_r1r2combined	Lemur-catta_Lc301_GATCAG_L003_001_filtered_r1r2combined.fastq.gz	32128274	ring-tailed_lemur.2	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur catta	ring-tailed lemur	flightless		Not	Madagascar	Dry Forest	stool
Lemur_catta	11212.Lc307	11212	Lemur-catta_Lc307_TAGCTT_L003_001_filtered_r1r2combined	Lemur-catta_Lc307_TAGCTT_L003_001_filtered_r1r2combined.fastq.gz	9150676	ring-tailed_lemur.3	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur catta	ring-tailed lemur	flightless		Not	Madagascar	Dry Forest	stool
Lemur_catta	11212.Lc308	11212	Lemur-catta_Lc308_GGCTAC_L003_001_filtered_r1r2combined	Lemur-catta_Lc308_GGCTAC_L003_001_filtered_r1r2combined.fastq.gz	13550662	ring-tailed_lemur.4	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur catta	ring-tailed lemur	flightless		Not	Madagascar	Dry Forest	stool
Lemur_catta	11212.Lc310	11212	Lemur-catta_Lc310_CTTGTA_L003_001_filtered_r1r2combined	Lemur-catta_Lc310_CTTGTA_L003_001_filtered_r1r2combined.fastq.gz	11349578	ring-tailed_lemur.5	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur catta	ring-tailed lemur	flightless		Not	Madagascar	Dry Forest	stool
Salmo_trutta	13881.SAMEA6809426	13881	Salmo-trutta_SAMEA6809412.ebi_filtered_r1r2combined_sampleCombined	Salmo-trutta_SAMEA6809412.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1075514	river_trout.1	Chordata	Actinopterygii	Salmonidae	Salmo	Metazoa	Salmoniformes	Salmo trutta	river trout				Austria		gut
Rutilus_rutilus	13881.SAMEA6809419	13881	Rutilus-rutilus_SAMEA6809408.ebi_filtered_r1r2combined_sampleCombined	Rutilus-rutilus_SAMEA6809408.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1001098	roach_minnow.1	Chordata	Actinopterygii	Leuciscidae	Rutilus	Metazoa	Cypriniformes	Rutilus rutilus	roach minnow				Austria		gut
Lagopus_muta	13881.SAMEA6809385	13881	Lagopus-muta_SAMEA6809382.ebi_filtered_r1r2combined_sampleCombined	Lagopus-muta_SAMEA6809382.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2566758	rock_ptarmigan.1	Chordata	Aves	Phasianidae	Lagopus	Metazoa	Galliformes	Lagopus muta	rock ptarmigan				Austria		feces
Corvus_frugilegus	13881.SAMEA6809505	13881	Corvus-frugilegus_SAMEA6809468.ebi_filtered_r1r2combined_sampleCombined	Corvus-frugilegus_SAMEA6809468.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1936764	rook.1	Chordata	Aves	Corvidae	Corvus	Metazoa	Passeriformes	Corvus frugilegus	rook				Austria		feces
Corvus_frugilegus	13881.SAMEA6809507	13881	Corvus-frugilegus_SAMEA6809469.ebi_filtered_r1r2combined_sampleCombined	Corvus-frugilegus_SAMEA6809469.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	15037686	rook.2	Chordata	Aves	Corvidae	Corvus	Metazoa	Passeriformes	Corvus frugilegus	rook				Austria		feces
