SampleID	SampleID2	sample_name2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	
Melursus_ursinus	Melursus-ursinus_Song51_24710_host_filtered_r1r2interleaved	13114.song.51.s007	13114	Melursus-ursinus_Song51_24710_host_filtered_r1r2combined.fastq.gz	23661652	23510450	sloth_bear.1	Chordata	Mammalia	Ursidae	Melursus	Metazoa	Carnivora	Melursus_ursinus	Ailuropoda_melanoleuca	Melursus_ursinus	Sloth_bear	flightless	terrestrial,flightless	omnivore	USA	NA	NA	carnivore	carnivore	captive	
Equus_przewalskii	Equus-ferus_Song51_24711_host_filtered_r1r2interleaved	13114.song.51.s008	13114	Equus-ferus_Song51_24711_host_filtered_r1r2combined.fastq.gz	21231990	21231290	przewalski_horse.1	Chordata	Mammalia	Equidae	Equus	Metazoa	Perissodactyla	Equus_ferus_przewalskii	Equus_ferus_przewalskii	Equus_przewalskii	Przewalski_horse	flightless	terrestrial,flightless	herbivore	USA	NA	NA	herbivore	herbivore	captive	
Helogale_parvula	Helogale-parvula_Song51_24713_host_filtered_r1r2interleaved	13114.song.51.s009	13114	Helogale-parvula_Song51_24713_host_filtered_r1r2combined.fastq.gz	19822812	18792480	dwarf_mongoose.1	Chordata	Mammalia	Herpestidae	Helogale	Metazoa	Carnivora	Helogale_parvula	Helogale_parvula	Helogale_parvula	Dwarf_mongoose	flightless	terrestrial,flightless	insectivore	USA	NA	NA	insectivore	carnivore	captive	
Felis_margarita	Felis-margarita_Song51_24733_host_filtered_r1r2interleaved	13114.song.51.s010	13114	Felis-margarita_Song51_24733_host_filtered_r1r2combined.fastq.gz	19930946	18749122	sand_cat.1	Chordata	Mammalia	Felidae	Felis	Metazoa	Carnivora	Felis_margarita	Felis_margarita	Felis_margarita	Sand_cat	flightless	terrestrial,flightless	carnivore	USA	NA	NA	carnivore	carnivore	captive	
Tolypeutes_matacus	Tolypeutes-matacus_Song51_24740_host_filtered_r1r2interleaved	13114.song.51.s011	13114	Tolypeutes-matacus_Song51_24740_host_filtered_r1r2combined.fastq.gz	26811288	26783072	southern_three-banded_armadillo.1	Chordata	Mammalia	Chlamyphoridae	Tolypeutes	Metazoa	Cingulata	Tolypeutes_matacus	Tolypeutes_matacus	Tolypeutes_matacus	Southern_three-banded_armadillo	flightless	terrestrial,flightless	insectivore	USA	NA	NA	insectivore	carnivore	captive	
Mungos_mungo	Mungos-mungo_Song51_24742_host_filtered_r1r2interleaved	13114.song.51.s012	13114	Mungos-mungo_Song51_24742_host_filtered_r1r2combined.fastq.gz	23173316	22718274	banded_mongoose.1	Chordata	Mammalia	Herpestidae	Mungos	Metazoa	Carnivora	Mungos_mungo	Mungos_mungo	Mungos_mungo	Banded_mongoose	flightless	terrestrial,flightless	carnivore	USA	NA	NA	herbivore	herbivore	captive	
Callosciurus_prevostii	Callosciurus-prevosti_Song51_24754_host_filtered_r1r2interleaved	13114.song.51.s013	13114	Callosciurus-prevosti_Song51_24754_host_filtered_r1r2combined.fastq.gz	15756000	15731890	prevost's_squirrel.1	Chordata	Mammalia	Sciuridae	Callosciurus	Metazoa	Rodentia	Callosciurus_prevostii	Sciurus_vulgaris	Callosciurus_prevostii	Prevost's_squirrel	flightless	terrestrial,flightless	omnivore	USA	NA	NA	frugivore	herbivore	captive	
Echinops_telfairi	Echinops-telfairi_Song51_24758_host_filtered_r1r2interleaved	13114.song.51.s014	13114	Echinops-telfairi_Song51_24758_host_filtered_r1r2combined.fastq.gz	19835732	19831638	lesser_hedgehog_tenrec.1	Chordata	Mammalia	Tenrecomorpha	Echinops	Metazoa	Afrosoricida	Echinops_telfairi	Echinops_telfairi	Echinops_telfairi	Lesser_hedgehog_tenrec	flightless	terrestrial,flightless	insectivore	USA	NA	NA	insectivore	carnivore	captive	
Mandrillus_leucophaeus	Mandrillus-leucophaeus_Song51_24991_host_filtered_r1r2interleaved	13114.song.51.s015	13114	Mandrillus-leucophaeus_Song51_24991_host_filtered_r1r2combined.fastq.gz	19378010	19365342	drill.1	Chordata	Mammalia	Cercopithecidae	Mandrillus	Metazoa	Primates	Mandrillus_leucophaeus	Mandrillus_leucophaeus	Mandrillus_leucophaeus	Drill	flightless	terrestrial,flightless	omnivore	USA	NA	NA	frugivore	herbivore	captive	
Gorilla_gorilla	Gorilla-gorilla_Song51_25120_host_filtered_r1r2interleaved	13114.song.51.s016	13114	Gorilla-gorilla_Song51_25120_host_filtered_r1r2combined.fastq.gz	24833602	24828210	western_gorilla.1	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla_gorilla_gorilla	Gorilla_gorilla_gorilla	Gorilla_gorilla	Western_gorilla	flightless	terrestrial,flightless	herbivore	USA	NA	NA	herbivore	herbivore	captive	
