SampleID	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	species_id	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	reference_host_for_filtering	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild
Myodes-glareolus_Mousseau88_FIN_382_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.47	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_436_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.48	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_497_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.50	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_516_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.52	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_538_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.54	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K7_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.76	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K18_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.70	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K28_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.71	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K32_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.72	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
Myodes-glareolus_Mousseau88_FIN_K41_host_filtered_r1r2combined	Chordata	Mammalia	Cricetidae	Myodes	Metazoa	Rodentia	Myodes glareolus	bank_vole.73	Myodes glareolus	Myodes_glareolus	bank vole	flightless	"terrestrial, flightless"	herbivore/insectivore	Ukraine			herbivore	herbivore		
