SampleID	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	species_id	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	reference_host_for_filtering	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild
Petromyzon-marinus_S_S_Temp_D702-AK1545_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea_lamprey.5	Petromyzon marinus	Petromyzon_marinus	sea lamprey	flightless			USA			sanguivore	carnivore	wild	
Petromyzon-marinus_S_S_Temp_D701-AK1546_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea_lamprey.6	Petromyzon marinus	Petromyzon_marinus	sea lamprey	flightless			USA			sanguivore	carnivore	wild	
Petromyzon-marinus_S_S_Temp_D701-AK1545_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea_lamprey.7	Petromyzon marinus	Petromyzon_marinus	sea lamprey	flightless			USA			sanguivore	carnivore	wild	
Petromyzon-marinus_S_S_Temp_D702-AK1680_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea_lamprey.8	Petromyzon marinus	Petromyzon_marinus	sea lamprey	flightless			USA			sanguivore	carnivore	wild	
Petromyzon-marinus_S_S_Temp_D701-AK1543_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea_lamprey.9	Petromyzon marinus	Petromyzon_marinus	sea lamprey	flightless			USA			sanguivore	carnivore	wild	
Petromyzon-marinus_S_S_Temp_D702-AK1682_filtered_r1r2combined	Chordata	Hyperoartia	Petromyzontidae	Petromyzon	Metazoa	Petromyzontiformes	Petromyzon marinus	sea_lamprey.10	Petromyzon marinus	Petromyzon_marinus	sea lamprey	flightless			USA			sanguivore	carnivore	wild	
Geospiza-difficilis_S_S_Temp_D712-AK1682_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	sharpbeaked_ground_finch.1	Geospiza fortis	Geospiza_difficilis	sharpbeaked ground finch	flighted			Ecuador			sanguivore	carnivore	wild	
Geospiza-difficilis_S_S_Temp_D712-AK1543_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	sharpbeaked_ground_finch.2	Geospiza fortis	Geospiza_difficilis	sharpbeaked ground finch	flighted			Ecuador			sanguivore	carnivore	wild	
Pteromys-volans_S_S_Temp_D707-AK1545_filtered_r1r2combined	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys volans	siberian_flying_squirrel.1	Sciurus vulgaris	Pteromys_volans	Siberian flying squirrel	flightless			Finland			herbivore	herbivore	wild	
Pteromys-volans_S_S_Temp_D703-AK1546_filtered_r1r2combined	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys volans	siberian_flying_squirrel.2	Sciurus vulgaris	Pteromys_volans	Siberian flying squirrel	flightless			Finland			herbivore	herbivore	wild	
Pteromys-volans_S_S_Temp_D703-AK1544_filtered_r1r2combined	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys volans	siberian_flying_squirrel.3	Sciurus vulgaris	Pteromys_volans	Siberian flying squirrel	flightless			Finland			herbivore	herbivore	wild	
Pteromys-volans_S_S_Temp_D708-AK1681_filtered_r1r2combined	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys volans	siberian_flying_squirrel.4	Sciurus vulgaris	Pteromys_volans	Siberian flying squirrel	flightless			Finland			herbivore	herbivore	wild	
Pteromys-volans_S_S_Temp_D703-AK1545_filtered_r1r2combined	Chordata	Mammalia	Sciuridae	Pteromys	Metazoa	Rodentia	Pteromys volans	siberian_flying_squirrel.5	Sciurus vulgaris	Pteromys_volans	Siberian flying squirrel	flightless			Finland			herbivore	herbivore	wild	
Crocuta-crocuta_S_S_Temp_D704-AK1681_filtered_r1r2combined	Chordata	Mammalia	Hyaenidae	Crocuta	Metazoa	Carnivora	Crocuta crocuta	spotted_hyena.1	Crocuta crocuta	Crocuta_crocuta	Spotted hyena	flightless			France			carnivore	carnivore	captive	
Hyaena-hyaena_S_S_Temp_D701-AK1680_filtered_r1r2combined	Chordata	Mammalia	Hyaenidae	Hyaena	Metazoa	Carnivora	Hyaena hyaena	striped_desert_hamster.1	Hyaena hyaena	Hyaena_hyaena	Striped hyena	flightless			France			"carnivore, scavenger"	carnivore	captive	
Eudromia-elegans_S_S_Temp_D706-AK1544_filtered_r1r2combined	Chordata	Aves	Tinamidae	Eudromia	Metazoa	Tinamiformes	Eudromia elegans	tinamou.1	Eudromia elegans	Eudromia_elegans	tinamou	flighted			USA			omnivore	omnivore	captive	
Geospiza-septentrionalis_S_S_Temp_D710-AK1546_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	vampire_finch.1	Geospiza fortis	Geospiza_difficilis	vampire finch	flighted			Ecuador			sanguivore	carnivore	wild	
Geospiza-septentrionalis_S_S_Temp_D711-AK1780_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	vampire_finch.2	Geospiza fortis	Geospiza_difficilis	vampire finch	flighted			Ecuador			sanguivore	carnivore	wild	
Geospiza-septentrionalis_S_S_Temp_D711-AK1680_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	vampire_finch.3	Geospiza fortis	Geospiza_difficilis	vampire finch	flighted			Ecuador			sanguivore	carnivore	wild	
Geospiza-septentrionalis_S_S_Temp_D703-AK1681_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	vampire_finch.4	Geospiza fortis	Geospiza_difficilis	vampire finch	flighted			Ecuador			sanguivore	carnivore	wild	
Geospiza-septentrionalis_S_S_Temp_D710-AK1544_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	vampire_finch.5	Geospiza fortis	Geospiza_difficilis	vampire finch	flighted			Ecuador			sanguivore	carnivore	wild	
Geospiza-septentrionalis_S_S_Temp_D710-AK1543_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	vampire_finch.6	Geospiza fortis	Geospiza_difficilis	vampire finch	flighted			Ecuador			sanguivore	carnivore	wild	
Geospiza-septentrionalis_S_S_Temp_D711-AK1546_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	vampire_finch.7	Geospiza fortis	Geospiza_difficilis	vampire finch	flighted			Ecuador			sanguivore	carnivore	wild	
Geospiza-septentrionalis_S_S_Temp_D712-AK1681_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	vampire_finch.8	Geospiza fortis	Geospiza_difficilis	vampire finch	flighted			Ecuador			sanguivore	carnivore	wild	
Geospiza-septentrionalis_S_S_Temp_D711-AK1681_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	vampire_finch.9	Geospiza fortis	Geospiza_difficilis	vampire finch	flighted			Ecuador			sanguivore	carnivore	wild	
Geospiza-septentrionalis_S_S_Temp_D710-AK1780_filtered_r1r2combined	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza difficilis	vampire_finch.10	Geospiza fortis	Geospiza_difficilis	vampire finch	flighted			Ecuador			sanguivore	carnivore	wild	
Glossophaga-morenoi_S_S_Temp_D708-AK1546_filtered_r1r2combined	Chordata	Mammalia	Phyllostomidae	Glossophaga	Metazoa	Chiroptera	Glossophaga morenoi	western_longtongued_bat.1	Anoura caudifer	Glossophaga_morenoi	western longtongued bat	flighted			Mexico			"insectivore, frugivore, nectarivore"	omnivore	wild	
Alouatta-caraya_AC622_ATCACG_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta caraya	black_grouse.1	Alouatta palliata	Alouatta_caraya	black howler monkey	flightless		Folivore	Argentina	Atlantic Forest	stool	folivore	herbivore	wild	
Alouatta-caraya_AC660_CGATGT_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta caraya	black_howler_monkey.1	Alouatta palliata	Alouatta_caraya	black howler monkey	flightless		Folivore	Argentina	Atlantic Forest	stool	folivore	herbivore	wild	
Alouatta-caraya_AC665_TTAGGC_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta caraya	black_howler_monkey.2	Alouatta palliata	Alouatta_caraya	black howler monkey	flightless		Folivore	Argentina	Atlantic Forest	stool	folivore	herbivore	wild	
Alouatta-caraya_AC667_TGACCA_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta caraya	black_howler_monkey.3	Alouatta palliata	Alouatta_caraya	black howler monkey	flightless		Folivore	Argentina	Atlantic Forest	stool	folivore	herbivore	wild	
Alouatta-caraya_AC668_ACAGTG_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta caraya	black_howler_monkey.4	Alouatta palliata	Alouatta_caraya	black howler monkey	flightless		Folivore	Argentina	Atlantic Forest	stool	folivore	herbivore	wild	
Cercopithecus-ascanius_RT2013_CTTGTA_L002_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Cercopithecus	Metazoa	Primates	Cercopithecus ascanius	black-cheeked_white-nosed_monkey.1	Cercopithecus mona	Cercopithecus_ascanius	black-cheeked white-nosed monkey	flightless		Not	Uganda	Rainforest	stool	omnivore	omnivore	wild	
Cercopithecus-ascanius_RT2017_AGTCAA_L002_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Cercopithecus	Metazoa	Primates	Cercopithecus ascanius	black-cheeked_white-nosed_monkey.2	Cercopithecus mona	Cercopithecus_ascanius	black-cheeked white-nosed monkey	flightless		Not	Uganda	Rainforest	stool	omnivore	omnivore	wild	
Cercopithecus-ascanius_RT2019_AGTTCC_L002_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Cercopithecus	Metazoa	Primates	Cercopithecus ascanius	black-cheeked_white-nosed_monkey.3	Cercopithecus mona	Cercopithecus_ascanius	black-cheeked white-nosed monkey	flightless		Not	Uganda	Rainforest	stool	omnivore	omnivore	wild	
Cercopithecus-ascanius_RT2021_ATGTCA_L002_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Cercopithecus	Metazoa	Primates	Cercopithecus ascanius	black-cheeked_white-nosed_monkey.4	Cercopithecus mona	Cercopithecus_ascanius	black-cheeked white-nosed monkey	flightless		Not	Uganda	Rainforest	stool	omnivore	omnivore	wild	
Cercopithecus-ascanius_RT2048_CCGTCC_L002_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Cercopithecus	Metazoa	Primates	Cercopithecus ascanius	black-cheeked_white-nosed_monkey.5	Cercopithecus mona	Cercopithecus_ascanius	black-cheeked white-nosed monkey	flightless		Not	Uganda	Rainforest	stool	omnivore	omnivore	wild	
Alouatta-palliata_Ahyb1000_CAGATC_L002_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles hybridus	brown_spider_monkey.1	Ateles geoffroyi	Ateles_hybridus	brown spider monkey	flightless		Not	Colombia	Rainforest	stool	"herbivore, frugivore"	herbivore	wild	
Alouatta-palliata_Ahyb135_ACTTGA_L002_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles hybridus	brown_spider_monkey.2	Ateles geoffroyi	Ateles_hybridus	brown spider monkey	flightless		Not	Colombia	Rainforest	stool	"herbivore, frugivore"	herbivore	wild	
Alouatta-palliata_Ahyb257_GATCAG_L002_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles hybridus	brown_spider_monkey.3	Ateles geoffroyi	Ateles_hybridus	brown spider monkey	flightless		Not	Colombia	Rainforest	stool	"herbivore, frugivore"	herbivore	wild	
Alouatta-palliata_Ahyb401_TAGCTT_L002_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles hybridus	brown_spider_monkey.4	Ateles geoffroyi	Ateles_hybridus	brown spider monkey	flightless		Not	Colombia	Rainforest	stool	"herbivore, frugivore"	herbivore	wild	
Alouatta-pigra_Ahyb411_GGCTAC_L002_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles hybridus	brown_spider_monkey.5	Ateles geoffroyi	Ateles_hybridus	brown spider monkey	flightless		Not	Colombia	Rainforest	stool	"herbivore, frugivore"	herbivore	wild	
Lagothrix-lagotricha_LabEllis3_AGTCAA_L003_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Lagothrix	Metazoa	Primates	Lagothrix lagotricha	brown_trout.1	Ateles geoffroyi	Lagothrix_lagotricha	brown woolly monkey	flightless		Not	Ecuador	Rainforest	stool	omnivore	omnivore	wild	
Lagothrix-lagotricha_LagAb2_AGTTCC_L003_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Lagothrix	Metazoa	Primates	Lagothrix lagotricha	brown_woolly_monkey.1	Ateles geoffroyi	Lagothrix_lagotricha	brown woolly monkey	flightless		Not	Ecuador	Rainforest	stool	omnivore	omnivore	wild	
Lagothrix-lagotricha_LagEllis1_ATGTCA_L003_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Lagothrix	Metazoa	Primates	Lagothrix lagotricha	brown_woolly_monkey.2	Ateles geoffroyi	Lagothrix_lagotricha	brown woolly monkey	flightless		Not	Ecuador	Rainforest	stool	omnivore	omnivore	wild	
Lagothrix-lagotricha_LagEllis4_CCGTCC_L003_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Lagothrix	Metazoa	Primates	Lagothrix lagotricha	brown_woolly_monkey.3	Ateles geoffroyi	Lagothrix_lagotricha	brown woolly monkey	flightless		Not	Ecuador	Rainforest	stool	omnivore	omnivore	wild	
Lagothrix-lagotricha_LagEllis5_GTCCGC_L003_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Lagothrix	Metazoa	Primates	Lagothrix lagotricha	brown_woolly_monkey.4	Ateles geoffroyi	Lagothrix_lagotricha	brown woolly monkey	flightless		Not	Ecuador	Rainforest	stool	omnivore	omnivore	wild	
Propithecus-verreauxi_Ptr1_GATCAG_L004_001_filtered_r1r2combined	Chordata	Mammalia	Hominidae	Pan	Metazoa	Primates	Pan troglodytes	chimpanzee.1	Pan troglodytes	Pan_troglodytes	chimpanzee	flightless		Not	Uganda	Rainforest	stool	omnivore	omnivore	wild	
Pan-troglodytes_Ptr10_TAGCTT_L004_001_filtered_r1r2combined	Chordata	Mammalia	Hominidae	Pan	Metazoa	Primates	Pan troglodytes	chimpanzee.2	Pan troglodytes	Pan_troglodytes	chimpanzee	flightless		Not	Uganda	Rainforest	stool	omnivore	omnivore	wild	
Propithecus-verreauxi_Ptr11_GGCTAC_L004_001_filtered_r1r2combined	Chordata	Mammalia	Hominidae	Pan	Metazoa	Primates	Pan troglodytes	chimpanzee.3	Pan troglodytes	Pan_troglodytes	chimpanzee	flightless		Not	Uganda	Rainforest	stool	omnivore	omnivore	wild	
Propithecus-verreauxi_Ptr13_CTTGTA_L004_001_filtered_r1r2combined	Chordata	Mammalia	Hominidae	Pan	Metazoa	Primates	Pan troglodytes	chimpanzee.4	Pan troglodytes	Pan_troglodytes	chimpanzee	flightless		Not	Uganda	Rainforest	stool	omnivore	omnivore	wild	
Propithecus-verreauxi_PTr14_AGTCAA_L004_001_filtered_r1r2combined	Chordata	Mammalia	Hominidae	Pan	Metazoa	Primates	Pan troglodytes	chimpanzee.5	Pan troglodytes	Pan_troglodytes	chimpanzee	flightless		Not	Uganda	Rainforest	stool	omnivore	omnivore	wild	
Theropithecus-gelada_JB27_AGTTCC_L004_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Theropithecus	Metazoa	Primates	Theropithecus gelada	gelada.1	Theropithecus gelada	Theropithecus_gelada	gelada	flightless		Folivore	Ethiopia	na	stool	herbivore	herbivore	wild	
Theropithecus-gelada_JB29_ATGTCA_L004_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Theropithecus	Metazoa	Primates	Theropithecus gelada	gelada.2	Theropithecus gelada	Theropithecus_gelada	gelada	flightless		Folivore	Ethiopia	na	stool	herbivore	herbivore	wild	
Theropithecus-gelada_JB3_CCGTCC_L004_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Theropithecus	Metazoa	Primates	Theropithecus gelada	gelada.3	Theropithecus gelada	Theropithecus_gelada	gelada	flightless		Folivore	Ethiopia	na	stool	herbivore	herbivore	wild	
Theropithecus-gelada_JB32_GTCCGC_L004_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Theropithecus	Metazoa	Primates	Theropithecus gelada	gelada.4	Theropithecus gelada	Theropithecus_gelada	gelada	flightless		Folivore	Ethiopia	na	stool	herbivore	herbivore	wild	
Theropithecus-gelada_JB34_GTGAAA_L004_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Theropithecus	Metazoa	Primates	Theropithecus gelada	gelada.5	Theropithecus gelada	Theropithecus_gelada	gelada	flightless		Folivore	Ethiopia	na	stool	herbivore	herbivore	wild	
Papio-hamadryas_JB1_TGACCA_L004_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates	Papio hamadryas	hamadryas_baboon.1	Papio anubis	Papio_hamadryas	hamadryas baboon	flightless		Not	Ethiopia	na	stool	omnivore	omnivore	wild	
Papio-anubis_JB13_ACAGTG_L004_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates	Papio hamadryas	hamadryas_baboon.2	Papio anubis	Papio_hamadryas	hamadryas baboon	flightless		Not	Ethiopia	na	stool	omnivore	omnivore	wild	
Papio-hamadryas_JB15_GCCAAT_L004_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates	Papio hamadryas	hamadryas_baboon.3	Papio anubis	Papio_hamadryas	hamadryas baboon	flightless		Not	Ethiopia	na	stool	omnivore	omnivore	wild	
Papio-hamadryas_JB17_CAGATC_L004_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates	Papio hamadryas	hamadryas_baboon.4	Papio anubis	Papio_hamadryas	hamadryas baboon	flightless		Not	Ethiopia	na	stool	omnivore	omnivore	wild	
Papio-hamadryas_JB18_ACTTGA_L004_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates	Papio hamadryas	hamadryas_baboon.5	Papio anubis	Papio_hamadryas	hamadryas baboon	flightless		Not	Ethiopia	na	stool	omnivore	omnivore	wild	
Alouatta-pigra_APF103_CTTGTA_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	howler_monkey.1	Alouatta palliata	Alouatta_pigra	howler monkey	flightless		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
Ateles-hybridus_APF104_AGTCAA_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	howler_monkey.2	Alouatta palliata	Alouatta_pigra	howler monkey	flightless		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
Ateles-hybridus_APF105_AGTTCC_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	howler_monkey.3	Alouatta palliata	Alouatta_pigra	howler monkey	flightless		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
Ateles-hybridus_APF106_ATGTCA_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	howler_monkey.4	Alouatta palliata	Alouatta_pigra	howler monkey	flightless		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
Ateles-hybridus_APF36_CCGTCC_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	howler_monkey.5	Alouatta palliata	Alouatta_pigra	howler monkey	flightless		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
Ateles-hybridus_APF37_GTCCGC_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	howler_monkey.6	Alouatta palliata	Alouatta_pigra	howler monkey	flightless		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
Alouatta-palliata_APF38_GTGAAA_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	howler_monkey.7	Alouatta palliata	Alouatta_pigra	howler monkey	flightless		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
Alouatta-palliata_APF39_GTGGCC_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	howler_monkey.8	Alouatta palliata	Alouatta_pigra	howler monkey	flightless		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
Alouatta-seniculus_Asen1111_GAGTGG_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta seniculus	howler_monkey.9	Alouatta palliata	Alouatta_seniculus	howler monkey	flightless		Folivore	Colombia	Rainforest	stool	folivore	herbivore	wild	
Alouatta-seniculus_Asen685_GTTTCG_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta seniculus	howler_monkey.10	Alouatta palliata	Alouatta_seniculus	howler monkey	flightless		Folivore	Colombia	Rainforest	stool	folivore	herbivore	wild	
Alouatta-seniculus_AsenLink1_ACTGAT_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta seniculus	howler_monkey.11	Alouatta palliata	Alouatta_seniculus	howler monkey	flightless		Folivore	Ecuador	Rainforest	stool	folivore	herbivore	wild	
Alouatta-seniculus_AsenLink2_ATTCCT_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta seniculus	howler_monkey.12	Alouatta palliata	Alouatta_seniculus	howler monkey	flightless		Folivore	Ecuador	Rainforest	stool	folivore	herbivore	wild	
Alouatta-seniculus_AsenLink3_ATCACG_L002_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta seniculus	howler_monkey.13	Alouatta palliata	Alouatta_seniculus	howler monkey	flightless		Folivore	Ecuador	Rainforest	stool	folivore	herbivore	wild	
Alouatta-seniculus_AsenLink4_CGTACG_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta seniculus	howler_monkey.14	Alouatta palliata	Alouatta_seniculus	howler monkey	flightless		Folivore	Ecuador	Rainforest	stool	folivore	herbivore	wild	
Colobus-guereza_BWC2023_GTCCGC_L002_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Colobus	Metazoa	Primates	Colobus guereza	mantled_guereza.1	Colobus angolensis	Colobus_guereza	mantled guereza	flightless		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
Colobus-guereza_BWC2026_GTGAAA_L002_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Colobus	Metazoa	Primates	Colobus guereza	mantled_guereza.2	Colobus angolensis	Colobus_guereza	mantled guereza	flightless		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
Colobus-guereza_BWC2061_GTGGCC_L002_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Colobus	Metazoa	Primates	Colobus guereza	mantled_guereza.3	Colobus angolensis	Colobus_guereza	mantled guereza	flightless		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
Colobus-guereza_BWC2063_GTTTCG_L002_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Colobus	Metazoa	Primates	Colobus guereza	mantled_guereza.4	Colobus angolensis	Colobus_guereza	mantled guereza	flightless		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
Colobus-guereza_BWC2115_CGTACG_L002_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Colobus	Metazoa	Primates	Colobus guereza	mantled_guereza.5	Colobus angolensis	Colobus_guereza	mantled guereza	flightless		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
Alouatta-pigra_APAL36_GCCAAT_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta palliata	mantled_howler_monkeys.1	Alouatta palliata	Alouatta_palliata	mantled howler monkeys	flightless		Folivore	Nicaragua	Dry Forest	stool	folivore	herbivore	wild	
Alouatta-pigra_APAL37_CAGATC_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta palliata	mantled_howler_monkeys.2	Alouatta palliata	Alouatta_palliata	mantled howler monkeys	flightless		Folivore	Nicaragua	Dry Forest	stool	folivore	herbivore	wild	
Alouatta-pigra_APAL38_ACTTGA_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta palliata	mantled_howler_monkeys.3	Alouatta palliata	Alouatta_palliata	mantled howler monkeys	flightless		Folivore	Nicaragua	Dry Forest	stool	folivore	herbivore	wild	
Alouatta-pigra_APAL39_GATCAG_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta palliata	mantled_howler_monkeys.4	Alouatta palliata	Alouatta_palliata	mantled howler monkeys	flightless		Folivore	Nicaragua	Dry Forest	stool	folivore	herbivore	wild	
Alouatta-pigra_Apalw13_TAGCTT_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta palliata	mantled_howler_monkeys.5	Alouatta palliata	Alouatta_palliata	mantled howler monkeys	flightless		Folivore	Nicaragua	Dry Forest	stool	folivore	herbivore	wild	
Alouatta-pigra_Apalw14_GGCTAC_L001_001_filtered_r1r2combined	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta palliata	mantled_howler_monkeys.6	Alouatta palliata	Alouatta_palliata	mantled howler monkeys	flightless		Folivore	Nicaragua	Dry Forest	stool	folivore	herbivore	wild	
Papio-hamadryas_JB10_GTGAAA_L003_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates	Papio anubis	olive_baboon.1	Papio anubis	Papio_anubis	olive baboon	flightless		Not	Ethiopia	na	stool	omnivore	omnivore	wild	
Papio-anubis_JB12_GTGGCC_L003_001_filtered_r1r2combined	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates	Papio anubis	olive_baboon.2	Papio anubis	Papio_anubis	olive baboon	flightless		Not	Ethiopia	na	stool	omnivore	omnivore	wild	
