sample_name	studyID	SampleID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	reference_host_for_filtering	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	
13881.SAMEA6809445	13881	Pygathrix-nemaeus_SAMEA6809445.ebi_filtered_r1r2combined_sampleCombined	Pygathrix-nemaeus_SAMEA6809445.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2167198	2167126	red_shanked_douc_langur.1	Chordata	Mammalia	Cercopithecidae	Pygathrix	Metazoa	Primates	Pygathrix nemaeus	Pygathrix nemaeus	Pygathrix_nemaeus	Red shanked douc langur		Pygathrix nemaeus		herbivore	Viet Nam		feces	folivore	herbivore	wild	
13881.SAMEA6809391	13881	Nomascus-gabriellae_SAMEA6809391.ebi_filtered_r1r2combined_sampleCombined	Nomascus-gabriellae_SAMEA6809391.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2776572	2776350	red-cheeked_gibbon.1	Chordata	Mammalia	Hylobatidae	Nomascus	Metazoa	Primates	Nomascus gabriellae	Nomascus leucogenys	Nomascus_gabriellae	Red-cheeked gibbon		Nomascus leucogenys		omnivore	Viet Nam		feces	frugivore	herbivore	wild	
13881.SAMEA6809470	13881	Phasianus-colchicus_SAMEA6809470.ebi_filtered_r1r2combined_sampleCombined	Phasianus-colchicus_SAMEA6809470.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	9587380	591076	ring-necked_pheasant.1	Chordata	Aves	Phasianidae	Phasianus	Metazoa	Galliformes	Phasianus colchicus	Phasianus colchicus	Phasianus_colchicus	Ring-necked pheasant		Phasianus colchicus		omnivore	Austria		gut	herbivore	herbivore	wild	
13881.SAMEA6809471	13881	Phasianus-colchicus_SAMEA6809471.ebi_filtered_r1r2combined_sampleCombined	Phasianus-colchicus_SAMEA6809471.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	5746486	377318	ring-necked_pheasant.2	Chordata	Aves	Phasianidae	Phasianus	Metazoa	Galliformes	Phasianus colchicus	Phasianus colchicus	Phasianus_colchicus	Ring-necked pheasant		Phasianus colchicus		omnivore	Austria		gut	herbivore	herbivore	wild	
13881.SAMEA6809412	13881	Salmo-trutta_SAMEA6809412.ebi_filtered_r1r2combined_sampleCombined	Salmo-trutta_SAMEA6809412.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1146406	1075514	river_trout.1	Chordata	Actinopterygii	Salmonidae	Salmo	Metazoa	Salmoniformes	Salmo trutta	Salmo trutta	Salmo_trutta	river trout		Salmo trutta		carnivore	Austria		gut	carnivore	carnivore	wild	
13881.SAMEA6809408	13881	Rutilus-rutilus_SAMEA6809408.ebi_filtered_r1r2combined_sampleCombined	Rutilus-rutilus_SAMEA6809408.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1317812	1001098	roach_minnow.1	Chordata	Actinopterygii	Leuciscidae	Rutilus	Metazoa	Cypriniformes	Rutilus rutilus	Pimephales promelas	Rutilus_rutilus	roach minnow		Pimephales promelas		omnivore	Austria		gut	carnivore	carnivore	wild	
13881.SAMEA6809382	13881	Lagopus-muta_SAMEA6809382.ebi_filtered_r1r2combined_sampleCombined	Lagopus-muta_SAMEA6809382.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2567654	2566758	rock_ptarmigan.1	Chordata	Aves	Phasianidae	Lagopus	Metazoa	Galliformes	Lagopus muta	Lagopus muta	Lagopus_muta	rock ptarmigan		Lagopus muta		omnivore	Austria		feces	herbivore	herbivore	wild	
13881.SAMEA6809468	13881	Corvus-frugilegus_SAMEA6809468.ebi_filtered_r1r2combined_sampleCombined	Corvus-frugilegus_SAMEA6809468.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2211630	1936764	rook.1	Chordata	Aves	Corvidae	Corvus	Metazoa	Passeriformes	Corvus frugilegus	Corvus hawaiiensis	Corvus_frugilegus	rook		Corvus hawaiiensis		omnivore	Austria		feces	omnivore	omnivore	wild	
13881.SAMEA6809469	13881	Corvus-frugilegus_SAMEA6809469.ebi_filtered_r1r2combined_sampleCombined	Corvus-frugilegus_SAMEA6809469.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	18001402	15037686	rook.2	Chordata	Aves	Corvidae	Corvus	Metazoa	Passeriformes	Corvus frugilegus	Corvus hawaiiensis	Corvus_frugilegus	rook		Corvus hawaiiensis		omnivore	Austria		feces	omnivore	omnivore	wild	
13881.SAMEA6809619	13881	Gymnocephalus-cernua_SAMEA6809619.ebi_filtered_r1r2combined_sampleCombined	Gymnocephalus-cernua_SAMEA6809619.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2719474	2698272	ruffe.1	Chordata	Actinopterygii	Percidae	Gymnocephalus	Metazoa	Perciformes	Gymnocephalus cernua	Perca fluviatilis	Gymnocephalus_cernua	ruffe		Perca fluviatilis		carnivore	Austria		feces	insectivore	carnivore	wild	
