sample_name	studyID	SampleID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	species_id	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	reference_host_for_filtering	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	
11212.APF103	11212	Alouatta-pigra_APF103_CTTGTA_L001_001_filtered_r1r2combined	Alouatta-pigra_APF103_CTTGTA_L001_001_filtered_r1r2combined.fastq.gz	17258770	17258364	howler_monkey.1	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	Alouatta palliata	Alouatta_pigra	howler monkey	flightless	Alouatta palliata		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
11212.APF104	11212	Ateles-hybridus_APF104_AGTCAA_L001_001_filtered_r1r2combined	Ateles-hybridus_APF104_AGTCAA_L001_001_filtered_r1r2combined.fastq.gz	20127978	19916894	howler_monkey.2	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	Alouatta palliata	Alouatta_pigra	howler monkey	flightless	Alouatta palliata		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
11212.APF105	11212	Ateles-hybridus_APF105_AGTTCC_L001_001_filtered_r1r2combined	Ateles-hybridus_APF105_AGTTCC_L001_001_filtered_r1r2combined.fastq.gz	14266096	13335550	howler_monkey.3	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	Alouatta palliata	Alouatta_pigra	howler monkey	flightless	Alouatta palliata		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
11212.APF106	11212	Ateles-hybridus_APF106_ATGTCA_L001_001_filtered_r1r2combined	Ateles-hybridus_APF106_ATGTCA_L001_001_filtered_r1r2combined.fastq.gz	16793552	16513902	howler_monkey.4	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	Alouatta palliata	Alouatta_pigra	howler monkey	flightless	Alouatta palliata		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
11212.APF36	11212	Ateles-hybridus_APF36_CCGTCC_L001_001_filtered_r1r2combined	Ateles-hybridus_APF36_CCGTCC_L001_001_filtered_r1r2combined.fastq.gz	12744986	11402142	howler_monkey.5	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	Alouatta palliata	Alouatta_pigra	howler monkey	flightless	Alouatta palliata		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
11212.APF37	11212	Ateles-hybridus_APF37_GTCCGC_L001_001_filtered_r1r2combined	Ateles-hybridus_APF37_GTCCGC_L001_001_filtered_r1r2combined.fastq.gz	16451456	16189010	howler_monkey.6	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	Alouatta palliata	Alouatta_pigra	howler monkey	flightless	Alouatta palliata		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
11212.APF38	11212	Alouatta-palliata_APF38_GTGAAA_L001_001_filtered_r1r2combined	Alouatta-palliata_APF38_GTGAAA_L001_001_filtered_r1r2combined.fastq.gz	18136714	18136664	howler_monkey.7	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	Alouatta palliata	Alouatta_pigra	howler monkey	flightless	Alouatta palliata		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
11212.APF39	11212	Alouatta-palliata_APF39_GTGGCC_L001_001_filtered_r1r2combined	Alouatta-palliata_APF39_GTGGCC_L001_001_filtered_r1r2combined.fastq.gz	16619112	16618900	howler_monkey.8	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta pigra	Alouatta palliata	Alouatta_pigra	howler monkey	flightless	Alouatta palliata		Folivore	Mexico	Rainforest	stool	folivore	herbivore	wild	
11212.Asen1111	11212	Alouatta-seniculus_Asen1111_GAGTGG_L001_001_filtered_r1r2combined	Alouatta-seniculus_Asen1111_GAGTGG_L001_001_filtered_r1r2combined.fastq.gz	11702574	11701728	howler_monkey.9	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta seniculus	Alouatta palliata	Alouatta_seniculus	howler monkey	flightless	Alouatta palliata		Folivore	Colombia	Rainforest	stool	folivore	herbivore	wild	
11212.Asen685	11212	Alouatta-seniculus_Asen685_GTTTCG_L001_001_filtered_r1r2combined	Alouatta-seniculus_Asen685_GTTTCG_L001_001_filtered_r1r2combined.fastq.gz	12522086	12521982	howler_monkey.10	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta seniculus	Alouatta palliata	Alouatta_seniculus	howler monkey	flightless	Alouatta palliata		Folivore	Colombia	Rainforest	stool	folivore	herbivore	wild	
11212.AsenLink1	11212	Alouatta-seniculus_AsenLink1_ACTGAT_L001_001_filtered_r1r2combined	Alouatta-seniculus_AsenLink1_ACTGAT_L001_001_filtered_r1r2combined.fastq.gz	19522452	19522240	howler_monkey.11	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta seniculus	Alouatta palliata	Alouatta_seniculus	howler monkey	flightless	Alouatta palliata		Folivore	Ecuador	Rainforest	stool	folivore	herbivore	wild	
11212.AsenLink2	11212	Alouatta-seniculus_AsenLink2_ATTCCT_L001_001_filtered_r1r2combined	Alouatta-seniculus_AsenLink2_ATTCCT_L001_001_filtered_r1r2combined.fastq.gz	16928880	16928810	howler_monkey.12	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta seniculus	Alouatta palliata	Alouatta_seniculus	howler monkey	flightless	Alouatta palliata		Folivore	Ecuador	Rainforest	stool	folivore	herbivore	wild	
11212.AsenLink3	11212	Alouatta-seniculus_AsenLink3_ATCACG_L002_001_filtered_r1r2combined	Alouatta-seniculus_AsenLink3_ATCACG_L002_001_filtered_r1r2combined.fastq.gz	11086732	11086682	howler_monkey.13	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta seniculus	Alouatta palliata	Alouatta_seniculus	howler monkey	flightless	Alouatta palliata		Folivore	Ecuador	Rainforest	stool	folivore	herbivore	wild	
11212.AsenLink4	11212	Alouatta-seniculus_AsenLink4_CGTACG_L001_001_filtered_r1r2combined	Alouatta-seniculus_AsenLink4_CGTACG_L001_001_filtered_r1r2combined.fastq.gz	13859418	13859366	howler_monkey.14	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta seniculus	Alouatta palliata	Alouatta_seniculus	howler monkey	flightless	Alouatta palliata		Folivore	Ecuador	Rainforest	stool	folivore	herbivore	wild	
11212.BWC2023	11212	Colobus-guereza_BWC2023_GTCCGC_L002_001_filtered_r1r2combined	Colobus-guereza_BWC2023_GTCCGC_L002_001_filtered_r1r2combined.fastq.gz	9338874	9320086	mantled_guereza.1	Chordata	Mammalia	Cercopithecidae	Colobus	Metazoa	Primates	Colobus guereza	Colobus angolensis	Colobus_guereza	mantled guereza	flightless	Colobus angolensis		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
11212.BWC2026	11212	Colobus-guereza_BWC2026_GTGAAA_L002_001_filtered_r1r2combined	Colobus-guereza_BWC2026_GTGAAA_L002_001_filtered_r1r2combined.fastq.gz	11938250	11937354	mantled_guereza.2	Chordata	Mammalia	Cercopithecidae	Colobus	Metazoa	Primates	Colobus guereza	Colobus angolensis	Colobus_guereza	mantled guereza	flightless	Colobus angolensis		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
11212.BWC2061	11212	Colobus-guereza_BWC2061_GTGGCC_L002_001_filtered_r1r2combined	Colobus-guereza_BWC2061_GTGGCC_L002_001_filtered_r1r2combined.fastq.gz	10949676	10916520	mantled_guereza.3	Chordata	Mammalia	Cercopithecidae	Colobus	Metazoa	Primates	Colobus guereza	Colobus angolensis	Colobus_guereza	mantled guereza	flightless	Colobus angolensis		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
11212.BWC2063	11212	Colobus-guereza_BWC2063_GTTTCG_L002_001_filtered_r1r2combined	Colobus-guereza_BWC2063_GTTTCG_L002_001_filtered_r1r2combined.fastq.gz	22817994	22813624	mantled_guereza.4	Chordata	Mammalia	Cercopithecidae	Colobus	Metazoa	Primates	Colobus guereza	Colobus angolensis	Colobus_guereza	mantled guereza	flightless	Colobus angolensis		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
11212.BWC2115	11212	Colobus-guereza_BWC2115_CGTACG_L002_001_filtered_r1r2combined	Colobus-guereza_BWC2115_CGTACG_L002_001_filtered_r1r2combined.fastq.gz	13856098	13855610	mantled_guereza.5	Chordata	Mammalia	Cercopithecidae	Colobus	Metazoa	Primates	Colobus guereza	Colobus angolensis	Colobus_guereza	mantled guereza	flightless	Colobus angolensis		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
11212.APAL36	11212	Alouatta-pigra_APAL36_GCCAAT_L001_001_filtered_r1r2combined	Alouatta-pigra_APAL36_GCCAAT_L001_001_filtered_r1r2combined.fastq.gz	9823250	9823198	mantled_howler_monkeys.1	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta palliata	Alouatta palliata	Alouatta_palliata	mantled howler monkeys	flightless	Alouatta palliata		Folivore	Nicaragua	Dry Forest	stool	folivore	herbivore	wild	
11212.APAL37	11212	Alouatta-pigra_APAL37_CAGATC_L001_001_filtered_r1r2combined	Alouatta-pigra_APAL37_CAGATC_L001_001_filtered_r1r2combined.fastq.gz	14668396	14667760	mantled_howler_monkeys.2	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta palliata	Alouatta palliata	Alouatta_palliata	mantled howler monkeys	flightless	Alouatta palliata		Folivore	Nicaragua	Dry Forest	stool	folivore	herbivore	wild	
11212.APAL38	11212	Alouatta-pigra_APAL38_ACTTGA_L001_001_filtered_r1r2combined	Alouatta-pigra_APAL38_ACTTGA_L001_001_filtered_r1r2combined.fastq.gz	13562028	13561634	mantled_howler_monkeys.3	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta palliata	Alouatta palliata	Alouatta_palliata	mantled howler monkeys	flightless	Alouatta palliata		Folivore	Nicaragua	Dry Forest	stool	folivore	herbivore	wild	
11212.APAL39	11212	Alouatta-pigra_APAL39_GATCAG_L001_001_filtered_r1r2combined	Alouatta-pigra_APAL39_GATCAG_L001_001_filtered_r1r2combined.fastq.gz	15606082	15605976	mantled_howler_monkeys.4	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta palliata	Alouatta palliata	Alouatta_palliata	mantled howler monkeys	flightless	Alouatta palliata		Folivore	Nicaragua	Dry Forest	stool	folivore	herbivore	wild	
11212.Apalw13	11212	Alouatta-pigra_Apalw13_TAGCTT_L001_001_filtered_r1r2combined	Alouatta-pigra_Apalw13_TAGCTT_L001_001_filtered_r1r2combined.fastq.gz	14164068	14163780	mantled_howler_monkeys.5	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta palliata	Alouatta palliata	Alouatta_palliata	mantled howler monkeys	flightless	Alouatta palliata		Folivore	Nicaragua	Dry Forest	stool	folivore	herbivore	wild	
11212.Apalw14	11212	Alouatta-pigra_Apalw14_GGCTAC_L001_001_filtered_r1r2combined	Alouatta-pigra_Apalw14_GGCTAC_L001_001_filtered_r1r2combined.fastq.gz	13150498	13150064	mantled_howler_monkeys.6	Chordata	Mammalia	Atelidae	Alouatta	Metazoa	Primates	Alouatta palliata	Alouatta palliata	Alouatta_palliata	mantled howler monkeys	flightless	Alouatta palliata		Folivore	Nicaragua	Dry Forest	stool	folivore	herbivore	wild	
11212.JB10	11212	Papio-hamadryas_JB10_GTGAAA_L003_001_filtered_r1r2combined	Papio-hamadryas_JB10_GTGAAA_L003_001_filtered_r1r2combined.fastq.gz	9679658	9675648	olive_baboon.1	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates	Papio anubis	Papio anubis	Papio_anubis	olive baboon	flightless	Papio anubis		Not	Ethiopia	na	stool	omnivore	omnivore	wild	
11212.JB12	11212	Papio-anubis_JB12_GTGGCC_L003_001_filtered_r1r2combined	Papio-anubis_JB12_GTGGCC_L003_001_filtered_r1r2combined.fastq.gz	10659368	10556982	olive_baboon.2	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates	Papio anubis	Papio anubis	Papio_anubis	olive baboon	flightless	Papio anubis		Not	Ethiopia	na	stool	omnivore	omnivore	wild	
11212.JB24	11212	Papio-anubis_JB24_GTTTCG_L003_001_filtered_r1r2combined	Papio-anubis_JB24_GTTTCG_L003_001_filtered_r1r2combined.fastq.gz	10184802	10162760	olive_baboon.3	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates	Papio anubis	Papio anubis	Papio_anubis	olive baboon	flightless	Papio anubis		Not	Ethiopia	na	stool	omnivore	omnivore	wild	
11212.JB25	11212	Papio-anubis_JB25_CGTACG_L003_001_filtered_r1r2combined	Papio-anubis_JB25_CGTACG_L003_001_filtered_r1r2combined.fastq.gz	9918624	9912968	olive_baboon.4	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates	Papio anubis	Papio anubis	Papio_anubis	olive baboon	flightless	Papio anubis		Not	Ethiopia	na	stool	omnivore	omnivore	wild	
11212.JB28	11212	Papio-anubis_JB28_GAGTGG_L003_001_filtered_r1r2combined	Papio-anubis_JB28_GAGTGG_L003_001_filtered_r1r2combined.fastq.gz	9989278	9967486	olive_baboon.5	Chordata	Mammalia	Cercopithecidae	Papio	Metazoa	Primates	Papio anubis	Papio anubis	Papio_anubis	olive baboon	flightless	Papio anubis		Not	Ethiopia	na	stool	omnivore	omnivore	wild	
11212.ERUB.102M	11212	Eulemur-rubriventer_ERUB_102M_ATTCCT_L002_001_filtered_r1r2combined	Eulemur-rubriventer_ERUB_102M_ATTCCT_L002_001_filtered_r1r2combined.fastq.gz	9361844	9230610	red-bellied_lemur.1	Chordata	Mammalia	Lemuridae	Eulemur	Metazoa	Primates	Eulemur rubriventer	Eulemur fulvus 	Eulemur_rubriventer	red-bellied lemur	flightless	Eulemur fulvus 		Not	Madagascar	Rainforest	stool	frugivore	herbivore	wild	
11212.ERUB.105M	11212	Eulemur-rubriventer_ERUB_105M_CGATGT_L003_001_filtered_r1r2combined	Eulemur-rubriventer_ERUB_105M_CGATGT_L003_001_filtered_r1r2combined.fastq.gz	7829228	7407364	red-bellied_lemur.2	Chordata	Mammalia	Lemuridae	Eulemur	Metazoa	Primates	Eulemur rubriventer	Eulemur fulvus 	Eulemur_rubriventer	red-bellied lemur	flightless	Eulemur fulvus 		Not	Madagascar	Rainforest	stool	frugivore	herbivore	wild	
11212.ERUB.10M	11212	Eulemur-rubriventer_ERUB_10M_ATCACG_L003_001_filtered_r1r2combined	Eulemur-rubriventer_ERUB_10M_ATCACG_L003_001_filtered_r1r2combined.fastq.gz	8100302	8068376	red-bellied_lemur.3	Chordata	Mammalia	Lemuridae	Eulemur	Metazoa	Primates	Eulemur rubriventer	Eulemur fulvus 	Eulemur_rubriventer	red-bellied lemur	flightless	Eulemur fulvus 		Not	Madagascar	Rainforest	stool	frugivore	herbivore	wild	
11212.ERUB.12M	11212	Eulemur-rubriventer_ERUB_12M_ACTGAT_L002_001_filtered_r1r2combined	Eulemur-rubriventer_ERUB_12M_ACTGAT_L002_001_filtered_r1r2combined.fastq.gz	9049480	9002740	red-bellied_lemur.4	Chordata	Mammalia	Lemuridae	Eulemur	Metazoa	Primates	Eulemur rubriventer	Eulemur fulvus 	Eulemur_rubriventer	red-bellied lemur	flightless	Eulemur fulvus 		Not	Madagascar	Rainforest	stool	frugivore	herbivore	wild	
11212.ERUB.20M	11212	Eulemur-rubriventer_ERUB_20M_GAGTGG_L002_001_filtered_r1r2combined	Eulemur-rubriventer_ERUB_20M_GAGTGG_L002_001_filtered_r1r2combined.fastq.gz	9493444	9452620	red-bellied_lemur.5	Chordata	Mammalia	Lemuridae	Eulemur	Metazoa	Primates	Eulemur rubriventer	Eulemur fulvus 	Eulemur_rubriventer	red-bellied lemur	flightless	Eulemur fulvus 		Not	Madagascar	Rainforest	stool	frugivore	herbivore	wild	
11212.Lc259	11212	Lemur-catta_Lc259_ACTTGA_L003_001_filtered_r1r2combined	Lemur-catta_Lc259_ACTTGA_L003_001_filtered_r1r2combined.fastq.gz	16381340	16380374	ring-tailed_lemur.1	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur catta	Lemur catta	Lemur_catta	ring-tailed lemur	flightless	Lemur catta		Not	Madagascar	Dry Forest	stool	omnivore	omnivore	wild	
11212.Lc301	11212	Lemur-catta_Lc301_GATCAG_L003_001_filtered_r1r2combined	Lemur-catta_Lc301_GATCAG_L003_001_filtered_r1r2combined.fastq.gz	32132048	32128274	ring-tailed_lemur.2	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur catta	Lemur catta	Lemur_catta	ring-tailed lemur	flightless	Lemur catta		Not	Madagascar	Dry Forest	stool	omnivore	omnivore	wild	
11212.Lc307	11212	Lemur-catta_Lc307_TAGCTT_L003_001_filtered_r1r2combined	Lemur-catta_Lc307_TAGCTT_L003_001_filtered_r1r2combined.fastq.gz	9178682	9150676	ring-tailed_lemur.3	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur catta	Lemur catta	Lemur_catta	ring-tailed lemur	flightless	Lemur catta		Not	Madagascar	Dry Forest	stool	omnivore	omnivore	wild	
11212.Lc308	11212	Lemur-catta_Lc308_GGCTAC_L003_001_filtered_r1r2combined	Lemur-catta_Lc308_GGCTAC_L003_001_filtered_r1r2combined.fastq.gz	13573532	13550662	ring-tailed_lemur.4	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur catta	Lemur catta	Lemur_catta	ring-tailed lemur	flightless	Lemur catta		Not	Madagascar	Dry Forest	stool	omnivore	omnivore	wild	
11212.Lc310	11212	Lemur-catta_Lc310_CTTGTA_L003_001_filtered_r1r2combined	Lemur-catta_Lc310_CTTGTA_L003_001_filtered_r1r2combined.fastq.gz	11384086	11349578	ring-tailed_lemur.5	Chordata	Mammalia	Lemuridae	Lemur	Metazoa	Primates	Lemur catta	Lemur catta	Lemur_catta	ring-tailed lemur	flightless	Lemur catta		Not	Madagascar	Dry Forest	stool	omnivore	omnivore	wild	
11212.Gor1	11212	Gorilla-gorilla_Gor1_TTAGGC_L003_001_filtered_r1r2combined	Gorilla-gorilla_Gor1_TTAGGC_L003_001_filtered_r1r2combined.fastq.gz	10609808	10295366	western_gorilla.2	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla gorilla	Gorilla gorilla	Gorilla_gorilla	western gorilla	flightless	Gorilla gorilla		Folivore	CAR	Rainforest	stool	herbivore	herbivore	wild	
11212.Gor11	11212	Gorilla-gorilla_Gor11_TGACCA_L003_001_filtered_r1r2combined	Gorilla-gorilla_Gor11_TGACCA_L003_001_filtered_r1r2combined.fastq.gz	10501528	10452718	western_gorilla.3	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla gorilla	Gorilla gorilla	Gorilla_gorilla	western gorilla	flightless	Gorilla gorilla		Folivore	CAR	Rainforest	stool	herbivore	herbivore	wild	
11212.Gor12	11212	Gorilla-gorilla_Gor12_ACAGTG_L003_001_filtered_r1r2combined	Gorilla-gorilla_Gor12_ACAGTG_L003_001_filtered_r1r2combined.fastq.gz	10565586	10171686	western_gorilla.4	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla gorilla	Gorilla gorilla	Gorilla_gorilla	western gorilla	flightless	Gorilla gorilla		Folivore	CAR	Rainforest	stool	herbivore	herbivore	wild	
11212.Gor2	11212	Gorilla-gorilla_Gor2_GCCAAT_L003_001_filtered_r1r2combined	Gorilla-gorilla_Gor2_GCCAAT_L003_001_filtered_r1r2combined.fastq.gz	9000572	8860636	western_gorilla.5	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla gorilla	Gorilla gorilla	Gorilla_gorilla	western gorilla	flightless	Gorilla gorilla		Folivore	CAR	Rainforest	stool	herbivore	herbivore	wild	
11212.Gor3	11212	Gorilla-gorilla_Gor3_CAGATC_L003_001_filtered_r1r2combined	Gorilla-gorilla_Gor3_CAGATC_L003_001_filtered_r1r2combined.fastq.gz	20035458	18079662	western_gorilla.6	Chordata	Mammalia	Hominidae	Gorilla	Metazoa	Primates	Gorilla gorilla	Gorilla gorilla	Gorilla_gorilla	western gorilla	flightless	Gorilla gorilla		Folivore	CAR	Rainforest	stool	herbivore	herbivore	wild	
11212.RC2036	11212	Piliocolobus-badius_RC2036_ACTGAT_L003_001_filtered_r1r2combined	Piliocolobus-badius_RC2036_ACTGAT_L003_001_filtered_r1r2combined.fastq.gz	24412496	24397462	western_red_colobus.1	Chordata	Mammalia	Cercopithecidae	Piliocolobus	Metazoa	Primates	Piliocolobus badius	Piliocolobus tephrosceles	Piliocolobus_badius	western red colobus	flightless	Piliocolobus tephrosceles		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
11212.RC2068	11212	Cercopithecus-ascanius_RC2068_ATCACG_L004_001_filtered_r1r2combined	Cercopithecus-ascanius_RC2068_ATCACG_L004_001_filtered_r1r2combined.fastq.gz	35599844	35587744	western_red_colobus.2	Chordata	Mammalia	Cercopithecidae	Cercopithecus	Metazoa	Primates	Cercopithecus ascanius	Cercopithecus mona	Cercopithecus_ascanius	western red colobus	flightless	Cercopithecus mona		Not	Uganda	Rainforest	stool	omnivore	omnivore	wild	
11212.RC2071	11212	Piliocolobus-badius_RC2071_ATTCCT_L003_001_filtered_r1r2combined	Piliocolobus-badius_RC2071_ATTCCT_L003_001_filtered_r1r2combined.fastq.gz	21182170	21108870	western_red_colobus.3	Chordata	Mammalia	Cercopithecidae	Piliocolobus	Metazoa	Primates	Piliocolobus badius	Piliocolobus tephrosceles	Piliocolobus_badius	western red colobus	flightless	Piliocolobus tephrosceles		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
11212.RC2096	11212	Piliocolobus-badius_RC2096_CGATGT_L004_001_filtered_r1r2combined	Piliocolobus-badius_RC2096_CGATGT_L004_001_filtered_r1r2combined.fastq.gz	13281708	13264464	western_red_colobus.4	Chordata	Mammalia	Cercopithecidae	Piliocolobus	Metazoa	Primates	Piliocolobus badius	Piliocolobus tephrosceles	Piliocolobus_badius	western red colobus	flightless	Piliocolobus tephrosceles		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
11212.RC2098	11212	Piliocolobus-badius_RC2098_TTAGGC_L004_001_filtered_r1r2combined	Piliocolobus-badius_RC2098_TTAGGC_L004_001_filtered_r1r2combined.fastq.gz	15754714	15708940	western_red_colobus.5	Chordata	Mammalia	Cercopithecidae	Piliocolobus	Metazoa	Primates	Piliocolobus badius	Piliocolobus tephrosceles	Piliocolobus_badius	western red colobus	flightless	Piliocolobus tephrosceles		Folivore	Uganda	Rainforest	stool	folivore	herbivore	wild	
11212.PVAbb	11212	Propithecus-verreauxi_PVAbb_GTGGCC_L004_001_filtered_r1r2combined	Propithecus-verreauxi_PVAbb_GTGGCC_L004_001_filtered_r1r2combined.fastq.gz	11202974	11180270	white_sifaka.1	Chordata	Mammalia	Indriidae	Propithecus	Metazoa	Primates	Propithecus verreauxi	Propithecus coquereli	Propithecus_verreauxi	white sifaka	flightless	Propithecus coquereli		Folivore	Madagascar	Dry Forest	stool	folivore	herbivore	wild	
11212.PVLou	11212	Pan-troglodytes_PVLou_GTTTCG_L004_001_filtered_r1r2combined	Pan-troglodytes_PVLou_GTTTCG_L004_001_filtered_r1r2combined.fastq.gz	12780036	12777990	white_sifaka.2	Chordata	Mammalia	Indriidae	Propithecus	Metazoa	Primates	Propithecus verreauxi	Propithecus coquereli	Propithecus_verreauxi	white sifaka	flightless	Propithecus coquereli		Folivore	Madagascar	Dry Forest	stool	folivore	herbivore	wild	
11212.PVPam	11212	Pan-troglodytes_PVPam_CGTACG_L004_001_filtered_r1r2combined	Pan-troglodytes_PVPam_CGTACG_L004_001_filtered_r1r2combined.fastq.gz	9731818	9729944	white_sifaka.3	Chordata	Mammalia	Indriidae	Propithecus	Metazoa	Primates	Propithecus verreauxi	Propithecus coquereli	Propithecus_verreauxi	white sifaka	flightless	Propithecus coquereli		Folivore	Madagascar	Dry Forest	stool	folivore	herbivore	wild	
11212.PVPet	11212	Pan-troglodytes_PVPet_GAGTGG_L004_001_filtered_r1r2combined	Pan-troglodytes_PVPet_GAGTGG_L004_001_filtered_r1r2combined.fastq.gz	9613110	9611862	white_sifaka.4	Chordata	Mammalia	Indriidae	Propithecus	Metazoa	Primates	Propithecus verreauxi	Propithecus coquereli	Propithecus_verreauxi	white sifaka	flightless	Propithecus coquereli		Folivore	Madagascar	Dry Forest	stool	folivore	herbivore	wild	
11212.PVQui	11212	Pan-troglodytes_PVQui_ACTGAT_L004_001_filtered_r1r2combined	Pan-troglodytes_PVQui_ACTGAT_L004_001_filtered_r1r2combined.fastq.gz	12975422	12973510	white_sifaka.5	Chordata	Mammalia	Indriidae	Propithecus	Metazoa	Primates	Propithecus verreauxi	Propithecus coquereli	Propithecus_verreauxi	white sifaka	flightless	Propithecus coquereli		Folivore	Madagascar	Dry Forest	stool	folivore	herbivore	wild	
11212.AtbelzLink1	11212	Ateles-belzebuth_AtbelzLink1_CGATGT_L002_001_filtered_r1r2combined	Ateles-belzebuth_AtbelzLink1_CGATGT_L002_001_filtered_r1r2combined.fastq.gz	21018878	19723536	white-bellied_spider_monkey.1	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles belzebuth	Ateles geoffroyi	Ateles_belzebuth	white-bellied spider monkey	flightless	Ateles geoffroyi		Not	Ecuador	Rainforest	stool	frugivore	herbivore	wild	
11212.AtbelzLink2	11212	Ateles-belzebuth_AtbelzLink2_TTAGGC_L002_001_filtered_r1r2combined	Ateles-belzebuth_AtbelzLink2_TTAGGC_L002_001_filtered_r1r2combined.fastq.gz	12762434	12032286	white-bellied_spider_monkey.2	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles belzebuth	Ateles geoffroyi	Ateles_belzebuth	white-bellied spider monkey	flightless	Ateles geoffroyi		Not	Ecuador	Rainforest	stool	frugivore	herbivore	wild	
11212.AtbelzLink3	11212	Ateles-belzebuth_AtbelzLink3_TGACCA_L002_001_filtered_r1r2combined	Ateles-belzebuth_AtbelzLink3_TGACCA_L002_001_filtered_r1r2combined.fastq.gz	19836260	18512094	white-bellied_spider_monkey.3	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles belzebuth	Ateles geoffroyi	Ateles_belzebuth	white-bellied spider monkey	flightless	Ateles geoffroyi		Not	Ecuador	Rainforest	stool	frugivore	herbivore	wild	
11212.AtbelzLink4	11212	Ateles-belzebuth_AtbelzLink4_ACAGTG_L002_001_filtered_r1r2combined	Ateles-belzebuth_AtbelzLink4_ACAGTG_L002_001_filtered_r1r2combined.fastq.gz	14434314	14116372	white-bellied_spider_monkey.4	Chordata	Mammalia	Atelidae	Ateles	Metazoa	Primates	Ateles belzebuth	Ateles geoffroyi	Ateles_belzebuth	white-bellied spider monkey	flightless	Ateles geoffroyi		Not	Ecuador	Rainforest	stool	frugivore	herbivore	wild	
