SampleID	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order
Caprimulgus_europaeus	Chordata	Aves	Caprimulgidae	Caprimulgus	Metazoa	Caprimulgiformes
Sciurus_vulgaris	Chordata	Mammalia	Sciuridae	Sciurus	Metazoa	Rodentia
Lutra_lutra	Chordata	Mammalia	Mustelidae	Lutra	Metazoa	Carnivora
Accipiter_nisus	Chordata	Aves	Accipitridae	Accipiter	Metazoa	Accipitriformes
Acrocephalus_scirpaceus	Chordata	Aves	Sylviidae	Acrocephalus	Metazoa	Passeriformes
Scolopax_rusticola	Chordata	Aves	Scolopacidae	Scolopax	Metazoa	Charadriiformes
Squalius_cephalus	Chordata	Actinopteri	Leuciscidae	Squalius	Metazoa	Cypriniformes
Natrix_natrix	Chordata	Lepidosauria	Colubridae	Natrix	Metazoa	Squamata
Bufotes_viridis	Chordata	Amphibia	Bufonidae	Bufotes	Metazoa	Anura
Chloris_chloris	Chordata	Aves	Fringillidae	Chloris	Metazoa	Passeriformes
Lepus_europaeus	Chordata	Mammalia	Leporidae	Lepus	Metazoa	Lagomorpha
Marmota_marmota	Chordata	Mammalia	Sciuridae	Marmota	Metazoa	Rodentia
Perca_fluviatilis	Chordata	Actinopteri	Percidae	Perca	Metazoa	Perciformes
Martes_martes	Chordata	Mammalia	Mustelidae	Martes	Metazoa	Carnivora
Mustela_putorius	Chordata	Mammalia	Mustelidae	Mustela	Metazoa	Carnivora
Spermophilus_citellus	Chordata	Mammalia	Sciuridae	Spermophilus	Metazoa	Rodentia
Apodemus_sylvaticus	Chordata	Mammalia	Muridae	Apodemus	Metazoa	Rodentia
Dama_dama	Chordata	Mammalia	Cervidae	Dama	Metazoa	Artiodactyla
Glis_glis	Chordata	Mammalia	Gliridae	Glis	Metazoa	Rodentia
Psammomys_obesus	Chordata	Mammalia	Muridae	Psammomys	Metazoa	Rodentia
Balaenoptera_physalus	Chordata	Mammalia	Balaenopteridae	Balaenoptera	Metazoa	Artiodactyla
Trichechus_manatus	Chordata	Mammalia	Trichechidae	Trichechus	Metazoa	Sirenia
Cryptoprocta_ferox	Chordata	Mammalia	Eupleridae	Cryptoprocta	Metazoa	Carnivora
Tachyeres_pteneres	Chordata	Aves	Anatidae	Tachyeres	Metazoa	Anseriformes
Reithrodontomys_fulvescens	Chordata	Mammalia	Cricetidae	Reithrodontomys	Metazoa	Rodentia
Eolophus_roseicapillus	Chordata	Aves	Cacatuidae	Eolophus	Metazoa	Psittaciformes
Eliomys_quercinus	Chordata	Mammalia	Gliridae	Eliomys	Metazoa	Rodentia
Bos_frontalis	Chordata	Mammalia	Bovidae	Bos	Metazoa	Artiodactyla
Theropithecus_gelada	Chordata	Mammalia	Cercopithecidae	Theropithecus	Metazoa	Primates
Myrmecophaga_tridactyla	Chordata	Mammalia	Myrmecophagidae	Myrmecophaga	Metazoa	Pilosa
Pteronura_brasiliensis	Chordata	Mammalia	Mustelidae	Pteronura	Metazoa	Carnivora
Giraffa_camelopardalis	Chordata	Mammalia	Giraffidae	Giraffa	Metazoa	Artiodactyla
Ophisaurus_apodus	Chordata	Reptilia	Anguidae	Ophisaurus	Metazoa	Squamata
Capra_hircus	Chordata	Mammalia	Bovidae	Capra	Metazoa	Artiodactyla
Gazella_subgutturosa	Chordata	Mammalia	Bovidae	Gazella	Metazoa	Artiodactyla
Canis_aureus	Chordata	Mammalia	Canidae	Canis	Metazoa	Carnivora
Chrysolophus_pictus	Chordata	Aves	Phasianidae	Chrysolophus	Metazoa	Galliformes
Rheomys_raptor	Chordata	Mammalia	Cricetidae	Rheomys	Metazoa	Rodentia
